tracker_id,solo_Kills,solo_RideDistance
4348,0.035075,0.014064
44153,0.021877,0.036632
5113,0.034352,0.067938
15984,0.007051,0.006699
165270,0.002893,0.002641
9872,0.026939,0.014782
117538,0.043573,0.074595
6949,0.01591,0.026785
40134,0.04755,0.058961
2087,0.017899,0.015657
20069,0.008317,0.004205
33380,0.011029,0.042941
106726,0.310432,0.479527
48858,0.021696,0.03525
153755,0.010848,0.009432
21174,0.120412,0.292439
60950,0.010486,0.015761
8017,0.012294,0.004348
9985,0.020069,0.013729
34662,0.065268,0.204648
68696,0.008136,0.025766
94388,0.041945,0.056764
89550,0.088049,0.133417
70341,0.095462,0.049855
45119,0.00904,0.012684
26687,0.013741,0.003389
18634,0.071054,0.220127
6403,0.012114,0.01629
8013,0.016091,0.04268
14147,0.027481,0.010927
70803,0,0.000383
155846,0.054421,0.08047
70251,0.044477,0.03784
13863,0.001627,0.003191
12170,0.009944,0.008781
210924,0.019526,0.030992
1340,0.00217,0.003409
9912,0.003616,0.002529
34149,0.015368,0.025774
29075,0.055325,0.080616
6955,0.018261,0.010336
6461,0.018803,0.012835
53097,0.008317,0.00537
3585,0.108299,0.090731
39427,0.064907,0.078815
9471,0.006147,0.006748
20526,0.06798,0.199349
95338,0.012294,0.0098
6715,0.013741,0.010424
5171,0.066896,0.128487
13190,0.14934,0.034445
5013,0.000362,0.000267
31975,0.001085,0.00122
133277,0.030374,0.258005
6410,0.020069,0.024479
8664,0.011029,0.012863
178946,0.112095,0.209565
45282,0.027662,0.007429
46683,0.010667,0.001289
100267,0.051166,0.107187
23588,0.125294,0.146102
12751,0.030374,0.097859
176078,0.025493,0.034674
9167,0.003254,0.003775
40943,0.055505,0.06625
99178,0.018261,0.02003
218109,0.035075,0.029137
46724,0.107214,0.57764
42065,0.090038,0.255372
51115,0.118423,0.299923
1224,0.003254,0.006171
140196,0.02947,0.013056
151467,0.025854,0.028479
35523,0.07684,0.138553
8001,0.016091,0.03192
11154,0.199421,0.100767
1567,0.019707,0.007451
14387,0.011571,0.028648
97432,0.001446,0.001199
5370,0.036341,0.021078
171810,0.031821,0.029875
82039,0.061833,0.221041
8751,0.023323,0.032837
179883,0.000723,0
38478,0.015006,0.017896
17161,0.000542,0
47150,0.035798,0.019205
25887,0.009582,0.013571
8541,0.012114,0.009783
49964,0.013741,0.006756
218111,0.003254,0.00518
7867,0.013198,0.01088
8757,0.021696,0.016173
547,0.167058,0.530048
13355,0.14482,0.349145
22517,0.049901,0.019487
83899,0.007955,0.009179
84803,0.01573,0.011807
42009,0.005424,0.014031
14351,0.107575,0.19039
6714,0.055325,0.149038
37707,0.037245,0.024741
33049,0.057494,0.036946
5869,0.057313,0.065667
25875,0.105948,0.222959
105782,0.003074,0.00307
35474,0.043934,0.0591
29500,0.0725,0.335388
12025,0.022419,0.019623
54167,0.154402,0.11526
17895,0.164889,0.086412
31296,0.087145,0.31982
3734,0.002893,0.0017
13967,0.019526,0.03446
127,0.001627,0.000186
163080,0.021334,0.022163
13141,0.001989,0.001712
80461,0.027481,0.016704
7364,0.01591,0.017731
63670,0.011029,0.010633
209547,0.046285,0.127814
53783,0.192551,0.17136
154522,0.04755,0.054757
72381,0,0
17878,0.002531,0.002533
24433,0.000181,0.000636
9595,0.10179,0.342458
8089,0.013198,0.010454
8514,0.041403,0.114877
19264,0.048454,0.047657
2866,0.005605,0.002342
13971,0.064726,0.02534
97555,0.054782,0.031541
13102,0.017357,0.024608
87673,0.059302,0.099418
15906,0.007232,0.001214
12133,0.023142,0.037458
1436,0.023142,0.010785
16526,0,0
148107,0.129995,0.427395
129462,0.001989,0.001567
218113,0.021153,0.039548
10883,0.105044,0.099941
5282,0.058941,0.006876
50928,0.028385,0.035311
6922,0.004339,0.00223
1438,0.095643,0.187212
43688,0.045923,0.049114
15976,0.18333,0.104711
26839,0.013018,0.018424
13405,0.056952,0.085491
156587,0.109203,0.221867
176412,0.11083,0.128302
215323,0.01139,0.020526
1683,0.001627,0.002604
188615,0.008859,0.002293
53939,0.04303,0.031917
121716,0.006147,0.00984
63734,0.018984,0.01098
51287,0.014102,0.011785
50209,0.022057,0.051082
14579,0.030736,0.011759
76545,0.069427,0.293243
36563,0.050443,0.098621
14361,0.036521,0.308573
169645,0.00669,0.001421
15310,0.003978,0.006487
4411,0.015368,0.011715
51298,0.014826,0.019969
33696,0.049539,0.126039
92525,0.00235,0.002412
7173,0.056952,0.209916
105564,0.063641,0.120403
6951,0.048635,0.031587
39226,0.038149,0.066784
80346,0.118785,0.247435
1479,0.033086,0.039116
213238,0.019165,0.019949
72043,0.004339,0.005164
22187,0.138492,0.386185
22940,0.02495,0.01231
24564,0.005062,0.003516
129314,0.032544,0.164874
14569,0.046104,0.029154
15782,0.036521,0.011442
7074,0.041945,0.047155
47210,0.056771,0.287293
121715,0.065268,0.138802
176159,0.020611,0.00936
13330,0.001989,0.001592
6254,0.001808,0.001229
16517,0.001627,0.000134
11825,0.20141,0.421964
150145,0.01573,0.013896
12668,0.007232,0.007043
5812,0.011752,0.02076
149377,0.020973,0.072158
29238,0.042669,0.043018
87410,0.028024,0.025203
24989,0.029289,0.05484
25337,0.093473,0.216352
62125,0.02712,0.02259
142408,0.001446,0.005158
33278,0.003254,0.004654
152185,0.060749,0.031284
14051,0.013198,0.001942
172188,0.035256,0.011196
39235,0.014645,0.012274
2274,0.003797,0.002857
2176,0.020973,0.01384
1178,0.04068,0.032465
27394,0.027662,0.037725
19387,0.001627,0.002715
6669,0.030013,0.073809
22614,0.034894,0.018507
20449,0.141927,0.162161
12493,0.334298,0.336218
42407,0.021696,0.027125
176904,0.051889,0.133718
94574,0.021877,0.017962
3836,0.001627,0
71839,0.050985,0.169459
13406,0.086422,0.139445
16041,0.019526,0.026847
14041,0.004339,0.007919
31108,0.011933,0.007387
26630,0.011029,0.008543
7432,0.010306,0.010991
15330,0.091665,0.197778
51147,0.084252,0.206416
33322,0.029289,0.040731
105777,0.046104,0.015222
7738,0.005424,0.00256
38716,0.019707,0.013279
8707,0.077563,0.522364
42857,0.002893,0.001383
210321,0.015549,0.01362
212338,0.033809,0.059196
22672,0.018803,0.009256
1501,0.127644,0.576525
54876,0.004339,0.005283
16077,0.000904,0
22557,0.009582,0.009856
15537,0.001627,0.001456
142040,0.007051,0.003396
210044,0.025493,0.091599
127623,0.010306,0.006946
6298,0.086241,0.143127
45845,0.010848,0.007965
3184,0.017899,0.012674
1309,0.011029,0.003081
15826,0.00669,0.021351
132992,0.102152,0.081998
41555,0.054059,0.025749
76629,0.001627,0.000612
68632,0.02043,0.005921
50409,0.019888,0.014674
34465,0.012294,0.005816
20109,0.391973,0.208583
51221,0.005424,0.011723
13360,0.047369,0.064706
28753,0.002893,0.001987
2136,0.000542,0.000328
13505,0.053878,0.042073
646,0.029651,0.008427
43692,0.014283,0.015977
48083,0.016995,0.023454
12228,0.012837,0.036975
53173,0.019888,0.027924
15990,0.006147,0.001134
121830,0.014826,0.004318
179377,0.015549,0.00857
97112,0.038872,0.026397
26660,0.009944,0.007509
34599,0.015368,0.002507
7449,0.003254,0.0041
26277,0.014826,0.025045
183559,0.030555,0.015427
28766,0.002712,0.003919
210218,0.028385,0.038208
6680,0.027301,0.014461
18158,0.010848,0.029219
92174,0.017357,0.01053
130996,0.025854,0.021832
890,0.000904,0.001066
217078,0.01121,0.002642
68455,0.018803,0.038607
139727,0.021153,0.036038
31315,0.033267,0.031559
209269,0.140481,0.282439
26306,0.043573,0.096244
51124,0.144459,0.363082
89516,0.00217,0.000354
4141,0.15838,0.226698
13493,0.007232,0.0163
438,0.205026,0.287351
210301,0.008317,0.003882
128394,0.008136,0.004815
24339,0.001085,0.00008
28222,0.013198,0.013977
1731,0.011752,0.006184
167496,0.009402,0.008355
42254,0.088049,0.1796
26096,0.019526,0.004723
133159,0.027662,0.033834
27239,0.041222,0.032951
